"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"1","GO:0097110","scaffold protein binding",13,3,0.28,1,"0.0023","0.0023"
"2","GO:0004709","MAP kinase kinase kinase activity",13,3,0.28,2,"0.0023","0.0023"
"3","GO:0020037","heme binding",30,4,0.64,3,"0.0034","0.0034"
"4","GO:0004702","signal transducer, downstream of recepto...",30,4,0.64,4,"0.2977","0.0034"
"5","GO:0005044","scavenger receptor activity",15,3,0.32,5,"0.0035","0.0035"
"6","GO:0046906","tetrapyrrole binding",32,4,0.68,6,"1.0000","0.0043"
"7","GO:0038024","cargo receptor activity",18,3,0.38,7,"1.0000","0.0060"
"8","GO:1901681","sulfur compound binding",35,4,0.74,8,"0.0060","0.0060"
"9","GO:0001871","pattern binding",7,2,0.15,9,"1.0000","0.0087"
"10","GO:0030247","polysaccharide binding",7,2,0.15,10,"0.0087","0.0087"
"11","GO:0004674","protein serine/threonine kinase activity",141,8,2.99,11,"0.1214","0.0094"
"12","GO:0005057","signal transducer activity, downstream o...",42,4,0.89,12,"0.4533","0.0114"
"13","GO:0019825","oxygen binding",9,2,0.19,13,"0.0145","0.0145"
"14","GO:0004693","cyclin-dependent protein serine/threonin...",9,2,0.19,14,"0.0145","0.0145"
"15","GO:0097472","cyclin-dependent protein kinase activity",9,2,0.19,15,"0.0145","0.0145"
"16","GO:0001047","core promoter binding",46,4,0.97,16,"0.0156","0.0156"
"17","GO:0015294","solute:cation symporter activity",26,3,0.55,17,"0.0168","0.0168"
"18","GO:0008395","steroid hydroxylase activity",10,2,0.21,18,"0.0179","0.0179"
"19","GO:0015293","symporter activity",27,3,0.57,19,"0.0186","0.0186"
"20","GO:0030332","cyclin binding",12,2,0.25,20,"0.0255","0.0255"
"21","GO:0000975","regulatory region DNA binding",237,10,5.02,21,"0.0270","0.0270"
"22","GO:0044212","transcription regulatory region DNA bind...",237,10,5.02,22,"0.0270","0.0270"
"23","GO:0001067","regulatory region nucleic acid binding",238,10,5.04,23,"0.0277","0.0277"
"24","GO:0001784","phosphotyrosine residue binding",14,2,0.3,24,"0.0343","0.0343"
"25","GO:0005539","glycosaminoglycan binding",35,3,0.74,25,"0.0370","0.0370"
"26","GO:0030246","carbohydrate binding",62,4,1.31,26,"0.3168","0.0414"
"27","GO:0004672","protein kinase activity",187,8,3.96,27,"0.2857","0.0432"
"28","GO:0008514","organic anion transmembrane transporter ...",39,3,0.83,28,"0.0486","0.0486"
"29","GO:0045309","protein phosphorylated amino acid bindin...",17,2,0.36,29,"0.0492","0.0492"
"30","GO:0016773","phosphotransferase activity, alcohol gro...",227,9,4.81,30,"0.2752","0.0494"
"31","GO:0016747","transferase activity, transferring acyl ...",70,4,1.48,31,"0.0600","0.0600"
"32","GO:0016705","oxidoreductase activity, acting on paire...",43,3,0.91,32,"0.0618","0.0618"
"33","GO:0015291","secondary active transmembrane transport...",44,3,0.93,33,"0.0654","0.0654"
"34","GO:0004860","protein kinase inhibitor activity",21,2,0.45,34,"0.0719","0.0719"
"35","GO:0019210","kinase inhibitor activity",21,2,0.45,35,"0.0719","0.0719"
"36","GO:0004497","monooxygenase activity",22,2,0.47,36,"0.0780","0.0780"
"37","GO:0008081","phosphoric diester hydrolase activity",22,2,0.47,37,"0.0780","0.0780"
"38","GO:0043167","ion binding",1571,40,33.3,38,"0.0851","0.0851"
"39","GO:0016301","kinase activity",254,9,5.38,39,"0.3746","0.0871"
"40","GO:0008234","cysteine-type peptidase activity",50,3,1.06,40,"0.0885","0.0885"
"41","GO:0003725","double-stranded RNA binding",24,2,0.51,41,"0.0908","0.0908"
"42","GO:0016746","transferase activity, transferring acyl ...",81,4,1.72,42,"0.0917","0.0917"
"43","GO:0005158","insulin receptor binding",5,1,0.11,43,"0.1016","0.1016"
"44","GO:0005313","L-glutamate transmembrane transporter ac...",5,1,0.11,44,"0.1016","0.1016"
"45","GO:0042834","peptidoglycan binding",5,1,0.11,45,"0.1016","0.1016"
"46","GO:0046625","sphingolipid binding",5,1,0.11,46,"0.1016","0.1016"
"47","GO:0001530","lipopolysaccharide binding",5,1,0.11,47,"0.1016","0.1016"
"48","GO:0015172","acidic amino acid transmembrane transpor...",5,1,0.11,48,"0.1016","0.1016"
"49","GO:1901567","fatty acid derivative binding",5,1,0.11,49,"0.1016","0.1016"
"50","GO:0051861","glycolipid binding",5,1,0.11,50,"0.1016","0.1016"
"51","GO:0004653","polypeptide N-acetylgalactosaminyltransf...",5,1,0.11,51,"0.1016","0.1016"
"52","GO:0000062","fatty-acyl-CoA binding",5,1,0.11,52,"0.1016","0.1016"
"53","GO:0005452","inorganic anion exchanger activity",5,1,0.11,53,"0.1016","0.1016"
"54","GO:0005385","zinc ion transmembrane transporter activ...",5,1,0.11,54,"0.1016","0.1016"
"55","GO:0046872","metal ion binding",1055,28,22.36,55,"0.1035","0.1035"
"56","GO:0051219","phosphoprotein binding",26,2,0.55,56,"0.1040","0.1040"
"57","GO:0004843","thiol-dependent ubiquitin-specific prote...",26,2,0.55,57,"0.1040","0.1040"
"58","GO:0050839","cell adhesion molecule binding",119,5,2.52,58,"0.1067","0.1067"
"59","GO:0008509","anion transmembrane transporter activity",55,3,1.17,59,"0.1100","0.1100"
"60","GO:0004527","exonuclease activity",27,2,0.57,60,"0.1109","0.1109"
"61","GO:0046943","carboxylic acid transmembrane transporte...",27,2,0.57,61,"0.1109","0.1109"
"62","GO:0070330","aromatase activity",6,1,0.13,62,"0.1207","0.1207"
"63","GO:0016712","oxidoreductase activity, acting on paire...",6,1,0.13,63,"0.1207","0.1207"
"64","GO:0004707","MAP kinase activity",6,1,0.13,64,"0.1207","0.1207"
"65","GO:0017147","Wnt-protein binding",6,1,0.13,65,"0.1207","0.1207"
"66","GO:0005540","hyaluronic acid binding",6,1,0.13,66,"0.1207","0.1207"
"67","GO:0046915","transition metal ion transmembrane trans...",6,1,0.13,67,"0.1207","0.1207"
"68","GO:0015556","C4-dicarboxylate transmembrane transport...",6,1,0.13,68,"0.1207","0.1207"
"69","GO:0015301","anion:anion antiporter activity",6,1,0.13,69,"0.1207","0.1207"
"70","GO:0043169","cation binding",1073,28,22.74,70,"0.1219","0.1219"
"71","GO:0005342","organic acid transmembrane transporter a...",29,2,0.61,71,"0.1249","0.1249"
"72","GO:0015081","sodium ion transmembrane transporter act...",30,2,0.64,72,"0.1320","0.1320"
"73","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",31,2,0.66,73,"0.1393","0.1393"
"74","GO:0004252","serine-type endopeptidase activity",31,2,0.66,74,"0.1393","0.1393"
"75","GO:0005089","Rho guanyl-nucleotide exchange factor ac...",31,2,0.66,75,"0.1393","0.1393"
"76","GO:0101005","ubiquitinyl hydrolase activity",31,2,0.66,76,"0.1393","0.1393"
"77","GO:0005184","neuropeptide hormone activity",7,1,0.15,77,"0.1393","0.1393"
"78","GO:0016709","oxidoreductase activity, acting on paire...",7,1,0.15,78,"0.1393","0.1393"
"79","GO:0030371","translation repressor activity",7,1,0.15,79,"0.1393","0.1393"
"80","GO:0008376","acetylgalactosaminyltransferase activity",7,1,0.15,80,"0.1393","0.1393"
"81","GO:0003951","NAD+ kinase activity",7,1,0.15,81,"0.1393","0.1393"
"82","GO:0005160","transforming growth factor beta receptor...",7,1,0.15,82,"0.1393","0.1393"
"83","GO:0019783","ubiquitin-like protein-specific protease...",32,2,0.68,83,"0.1466","0.1466"
"84","GO:0060089","molecular transducer activity",248,8,5.26,84,"0.5270","0.1530"
"85","GO:0004518","nuclease activity",64,3,1.36,85,"0.1532","0.1532"
"86","GO:0016878","acid-thiol ligase activity",8,1,0.17,86,"0.1576","0.1576"
"87","GO:0004198","calcium-dependent cysteine-type endopept...",8,1,0.17,87,"0.1576","0.1576"
"88","GO:0015295","solute:proton symporter activity",8,1,0.17,88,"0.1576","0.1576"
