"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"1","GO:0038023","signaling receptor activity",109,10,2.02,1,"1.0000","2.6e-05"
"2","GO:0004872","receptor activity",137,10,2.54,2,"1.0000","0.00018"
"3","GO:0060089","molecular transducer activity",151,10,2.8,3,"1.0000","0.00040"
"4","GO:0004871","signal transducer activity",191,11,3.54,4,"0.7610","0.00067"
"5","GO:0003707","steroid hormone receptor activity",12,3,0.22,5,"0.0012","0.00119"
"6","GO:0004888","transmembrane signaling receptor activit...",94,7,1.74,6,"0.0016","0.00160"
"7","GO:0099600","transmembrane receptor activity",98,7,1.82,7,"1.0000","0.00204"
"8","GO:0004622","lysophospholipase activity",5,2,0.09,8,"0.0033","0.00327"
"9","GO:0004499","N,N-dimethylaniline monooxygenase activi...",5,2,0.09,9,"0.0033","0.00327"
"10","GO:0030545","receptor regulator activity",58,5,1.07,10,"0.1290","0.00408"
"11","GO:0015297","antiporter activity",21,3,0.39,11,"0.0064","0.00640"
"12","GO:0016709","oxidoreductase activity, acting on paire...",7,2,0.13,12,"1.0000","0.00670"
"13","GO:0008083","growth factor activity",23,3,0.43,13,"0.0083","0.00830"
"14","GO:0008201","heparin binding",24,3,0.44,14,"0.0094","0.00936"
"15","GO:0005518","collagen binding",9,2,0.17,15,"0.0112","0.01122"
"16","GO:0015179","L-amino acid transmembrane transporter a...",10,2,0.19,16,"0.0139","0.01385"
"17","GO:0019894","kinesin binding",11,2,0.2,17,"0.0167","0.01673"
"18","GO:0004879","nuclear receptor activity",11,2,0.2,18,"0.0167","0.01673"
"19","GO:0098531","transcription factor activity, direct li...",11,2,0.2,19,"0.0167","0.01673"
"20","GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-...",11,2,0.2,20,"0.0167","0.01673"
"21","GO:0048018","receptor ligand activity",55,4,1.02,21,"0.4402","0.01820"
"22","GO:0052813","phosphatidylinositol bisphosphate kinase...",12,2,0.22,22,"0.0198","0.01984"
"23","GO:0005539","glycosaminoglycan binding",32,3,0.59,23,"1.0000","0.02063"
