"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"1","GO:0005272","sodium channel activity",11,3,0.25,1,"0.127","0.0017"
"2","GO:0005248","voltage-gated sodium channel activity",5,2,0.12,2,"0.005","0.0050"
"3","GO:1905030","voltage-gated ion channel activity invol...",5,2,0.12,3,"1.000","0.0050"
"4","GO:0015081","sodium ion transmembrane transporter act...",31,4,0.71,4,"0.113","0.0050"
"5","GO:0005227","calcium activated cation channel activit...",7,2,0.16,5,"0.010","0.0102"
"6","GO:0061134","peptidase regulator activity",39,4,0.9,6,"0.011","0.0115"
"7","GO:0033613","activating transcription factor binding",8,2,0.18,7,"0.013","0.0133"
"8","GO:0022839","ion gated channel activity",9,2,0.21,8,"0.017","0.0169"
"9","GO:0003705","transcription factor activity, RNA polym...",10,2,0.23,9,"0.021","0.0208"
"10","GO:0019842","vitamin binding",27,3,0.62,10,"0.023","0.0229"
"11","GO:0001076","transcription factor activity, RNA polym...",28,3,0.64,11,"0.025","0.0253"
"12","GO:0000978","RNA polymerase II core promoter proximal...",51,4,1.17,12,"0.028","0.0284"
"13","GO:0070279","vitamin B6 binding",12,2,0.28,13,"0.030","0.0296"
"14","GO:0030170","pyridoxal phosphate binding",12,2,0.28,14,"0.030","0.0296"
"15","GO:0016782","transferase activity, transferring sulfu...",12,2,0.28,15,"0.030","0.0296"
"16","GO:0000987","core promoter proximal region sequence-s...",53,4,1.22,16,"0.032","0.0321"
"17","GO:0001159","core promoter proximal region DNA bindin...",53,4,1.22,17,"0.032","0.0321"
"18","GO:0046873","metal ion transmembrane transporter acti...",79,5,1.82,18,"0.228","0.0335"
"19","GO:0005261","cation channel activity",55,4,1.27,19,"0.308","0.0362"
"20","GO:0030414","peptidase inhibitor activity",33,3,0.76,20,"0.039","0.0388"
"21","GO:0022836","gated channel activity",61,4,1.4,21,"0.357","0.0500"
"22","GO:0004857","enzyme inhibitor activity",62,4,1.43,22,"0.053","0.0526"
"23","GO:0005244","voltage-gated ion channel activity",38,3,0.87,23,"0.527","0.0553"
"24","GO:0022832","voltage-gated channel activity",38,3,0.87,24,"0.527","0.0553"
"25","GO:0008017","microtubule binding",39,3,0.9,25,"0.059","0.0590"
"26","GO:0015077","monovalent inorganic cation transmembran...",66,4,1.52,26,"0.398","0.0635"
"27","GO:0022890","inorganic cation transmembrane transport...",95,5,2.19,27,"0.326","0.0653"
"28","GO:0031625","ubiquitin protein ligase binding",41,3,0.94,28,"0.067","0.0666"
"29","GO:0044389","ubiquitin-like protein ligase binding",42,3,0.97,29,"0.071","0.0706"
"30","GO:0043168","anion binding",444,15,10.22,30,"0.074","0.0740"
"31","GO:0005216","ion channel activity",74,4,1.7,31,"0.460","0.0886"
"32","GO:1901681","sulfur compound binding",47,3,1.08,32,"0.092","0.0921"
"33","GO:0000981","RNA polymerase II transcription factor a...",106,5,2.44,33,"0.094","0.0945"
"34","GO:0017137","Rab GTPase binding",23,2,0.53,34,"0.097","0.0968"
"35","GO:0022838","substrate-specific channel activity",78,4,1.79,35,"0.489","0.1028"
"36","GO:0022857","transmembrane transporter activity",175,7,4.03,36,"0.329","0.1040"
"37","GO:0015075","ion transmembrane transporter activity",142,6,3.27,37,"0.366","0.1053"
"38","GO:0015631","tubulin binding",50,3,1.15,38,"0.106","0.1062"
"39","GO:0030742","GTP-dependent protein binding",5,1,0.12,39,"0.110","0.1100"
"40","GO:0015106","bicarbonate transmembrane transporter ac...",5,1,0.12,40,"0.110","0.1100"
"41","GO:0008106","alcohol dehydrogenase (NADP+) activity",5,1,0.12,41,"0.110","0.1100"
"42","GO:0017081","chloride channel regulator activity",5,1,0.12,42,"0.110","0.1100"
"43","GO:0098632","cell-cell adhesion mediator activity",5,1,0.12,43,"0.110","0.1100"
"44","GO:0030228","lipoprotein particle receptor activity",5,1,0.12,44,"0.110","0.1100"
"45","GO:0004683","calmodulin-dependent protein kinase acti...",5,1,0.12,45,"0.110","0.1100"
"46","GO:0015301","anion:anion antiporter activity",5,1,0.12,46,"0.110","0.1100"
"47","GO:0008324","cation transmembrane transporter activit...",113,5,2.6,47,"0.436","0.1160"
"48","GO:0048037","cofactor binding",54,3,1.24,48,"0.126","0.1261"
"49","GO:0000975","regulatory region DNA binding",117,5,2.69,49,"0.129","0.1293"
"50","GO:0044212","transcription regulatory region DNA bind...",117,5,2.69,50,"0.129","0.1293"
"51","GO:0001067","regulatory region nucleic acid binding",117,5,2.69,51,"0.129","0.1293"
"52","GO:0015267","channel activity",85,4,1.96,52,"0.539","0.1298"
"53","GO:0022803","passive transmembrane transporter activi...",85,4,1.96,53,"0.539","0.1298"
"54","GO:0001871","pattern binding",6,1,0.14,54,"0.130","0.1305"
"55","GO:0048487","beta-tubulin binding",6,1,0.14,55,"0.130","0.1305"
"56","GO:0042054","histone methyltransferase activity",6,1,0.14,56,"0.130","0.1305"
"57","GO:0001191","transcriptional repressor activity, RNA ...",6,1,0.14,57,"0.130","0.1305"
"58","GO:0016504","peptidase activator activity",6,1,0.14,58,"0.130","0.1305"
"59","GO:0042379","chemokine receptor binding",6,1,0.14,59,"0.130","0.1305"
"60","GO:0008009","chemokine activity",6,1,0.14,60,"0.130","0.1305"
"61","GO:0005452","inorganic anion exchanger activity",6,1,0.14,61,"0.130","0.1305"
"62","GO:0018024","histone-lysine N-methyltransferase activ...",6,1,0.14,62,"0.130","0.1305"
"63","GO:0030247","polysaccharide binding",6,1,0.14,63,"0.130","0.1305"
"64","GO:0000977","RNA polymerase II regulatory region sequ...",87,4,2,64,"0.138","0.1381"
"65","GO:0001012","RNA polymerase II regulatory region DNA ...",87,4,2,65,"0.138","0.1381"
"66","GO:0000982","transcription factor activity, RNA polym...",57,3,1.31,66,"0.142","0.1419"
"67","GO:0005516","calmodulin binding",29,2,0.67,67,"0.142","0.1425"
"68","GO:0000988","transcription factor activity, protein b...",89,4,2.05,68,"0.147","0.1465"
"69","GO:0000989","transcription factor activity, transcrip...",89,4,2.05,69,"0.147","0.1465"
"70","GO:0098772","molecular function regulator",302,10,6.95,70,"0.150","0.1495"
"71","GO:0099516","ion antiporter activity",7,1,0.16,71,"0.151","0.1505"
"72","GO:0016248","channel inhibitor activity",7,1,0.16,72,"0.151","0.1505"
"73","GO:0008200","ion channel inhibitor activity",7,1,0.16,73,"0.151","0.1505"
"74","GO:0098631","cell adhesion mediator activity",7,1,0.16,74,"0.151","0.1505"
"75","GO:0030234","enzyme regulator activity",158,6,3.64,75,"0.153","0.1527"
"76","GO:0004674","protein serine/threonine kinase activity",60,3,1.38,76,"0.158","0.1583"
"77","GO:0022891","substrate-specific transmembrane transpo...",160,6,3.68,77,"0.459","0.1592"
"78","GO:0003700","DNA binding transcription factor activit...",162,6,3.73,78,"0.166","0.1659"
"79","GO:0004672","protein kinase activity",94,4,2.16,79,"0.169","0.1685"
"80","GO:0008146","sulfotransferase activity",8,1,0.18,80,"0.170","0.1701"
"81","GO:0004033","aldo-keto reductase (NADP) activity",8,1,0.18,81,"0.170","0.1701"
"82","GO:0000976","transcription regulatory region sequence...",95,4,2.19,82,"0.173","0.1731"
"83","GO:0008514","organic anion transmembrane transporter ...",33,2,0.76,83,"0.175","0.1751"
"84","GO:0008201","heparin binding",33,2,0.76,84,"0.175","0.1751"
"85","GO:0003677","DNA binding",351,11,8.08,85,"0.175","0.1755"
"86","GO:0097367","carbohydrate derivative binding",354,11,8.15,86,"0.183","0.1827"
