"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"1","GO:0005001","transmembrane receptor protein tyrosine ...",5,2,0.1,1,"0.0039","0.0039"
"2","GO:0019198","transmembrane receptor protein phosphata...",5,2,0.1,2,"1.0000","0.0039"
"3","GO:0004888","transmembrane signaling receptor activit...",134,8,2.7,3,"0.2013","0.0050"
"4","GO:0016889","endodeoxyribonuclease activity, producin...",6,2,0.12,4,"0.0057","0.0057"
"5","GO:0030291","protein serine/threonine kinase inhibito...",6,2,0.12,5,"0.0057","0.0057"
"6","GO:0005524","ATP binding",340,14,6.85,6,"0.0067","0.0067"
"7","GO:0099600","transmembrane receptor activity",141,8,2.84,7,"0.2296","0.0068"
"8","GO:0032559","adenyl ribonucleotide binding",346,14,6.98,8,"1.0000","0.0078"
"9","GO:0005158","insulin receptor binding",7,2,0.14,9,"0.0079","0.0079"
"10","GO:0004714","transmembrane receptor protein tyrosine ...",7,2,0.14,10,"0.0079","0.0079"
"11","GO:0004725","protein tyrosine phosphatase activity",21,3,0.42,11,"0.2719","0.0080"
"12","GO:0030554","adenyl nucleotide binding",348,14,7.02,12,"1.0000","0.0082"
"13","GO:0038023","signaling receptor activity",150,8,3.02,13,"0.2674","0.0097"
"14","GO:0016894","endonuclease activity, active with eithe...",8,2,0.16,14,"1.0000","0.0104"
"15","GO:0004871","signal transducer activity",219,10,4.42,15,"0.1988","0.0113"
"16","GO:0016874","ligase activity",46,4,0.93,16,"0.0130","0.0130"
"17","GO:0019199","transmembrane receptor protein kinase ac...",9,2,0.18,17,"1.0000","0.0132"
"18","GO:0008289","lipid binding",132,7,2.66,18,"0.0159","0.0159"
"19","GO:0004175","endopeptidase activity",79,5,1.59,19,"0.0205","0.0205"
"20","GO:0004872","receptor activity",183,8,3.69,20,"0.4119","0.0291"
"21","GO:0035639","purine ribonucleoside triphosphate bindi...",410,14,8.27,21,"1.0000","0.0311"
"22","GO:0032555","purine ribonucleotide binding",416,14,8.39,22,"1.0000","0.0347"
"23","GO:0004520","endodeoxyribonuclease activity",15,2,0.3,23,"1.0000","0.0355"
"24","GO:0032553","ribonucleotide binding",418,14,8.43,24,"1.0000","0.0360"
"25","GO:0017076","purine nucleotide binding",419,14,8.45,25,"1.0000","0.0366"
"26","GO:0008233","peptidase activity",126,6,2.54,26,"0.0398","0.0398"
"27","GO:0005261","cation channel activity",38,3,0.77,27,"0.0400","0.0400"
"28","GO:0060089","molecular transducer activity",197,8,3.97,28,"0.4724","0.0425"
"29","GO:0016879","ligase activity, forming carbon-nitrogen...",17,2,0.34,29,"0.0448","0.0448"
"30","GO:0004860","protein kinase inhibitor activity",17,2,0.34,30,"1.0000","0.0448"
"31","GO:0019210","kinase inhibitor activity",17,2,0.34,31,"1.0000","0.0448"
"32","GO:0016788","hydrolase activity, acting on ester bond...",164,7,3.31,32,"0.5638","0.0452"
"33","GO:0030246","carbohydrate binding",40,3,0.81,33,"0.0455","0.0455"
"34","GO:0043168","anion binding",559,17,11.27,34,"0.7602","0.0476"
"35","GO:0000166","nucleotide binding",476,15,9.6,35,"0.9179","0.0481"
"36","GO:0005516","calmodulin binding",41,3,0.83,36,"0.0485","0.0485"
"37","GO:1901265","nucleoside phosphate binding",477,15,9.62,37,"0.9194","0.0489"
"38","GO:0004620","phospholipase activity",18,2,0.36,38,"0.0498","0.0498"
"39","GO:0016247","channel regulator activity",18,2,0.36,39,"0.0498","0.0498"
"40","GO:0004721","phosphoprotein phosphatase activity",42,3,0.85,40,"0.5211","0.0514"
"41","GO:0036094","small molecule binding",530,16,10.68,41,"0.8623","0.0578"
"42","GO:0005496","steroid binding",21,2,0.42,42,"0.0658","0.0658"
"43","GO:0097367","carbohydrate derivative binding",459,14,9.25,43,"1.0000","0.0701"
"44","GO:0004536","deoxyribonuclease activity",22,2,0.44,44,"1.0000","0.0714"
"45","GO:0004197","cysteine-type endopeptidase activity",22,2,0.44,45,"0.0714","0.0714"
"46","GO:0042578","phosphoric ester hydrolase activity",79,4,1.59,46,"0.4285","0.0735"
"47","GO:0022891","substrate-specific transmembrane transpo...",149,6,3,47,"0.0777","0.0777"
"48","GO:0016787","hydrolase activity",552,16,11.13,48,"0.3288","0.0783"
"49","GO:0016298","lipase activity",24,2,0.48,49,"0.0832","0.0832"
"50","GO:0070011","peptidase activity, acting on L-amino ac...",119,5,2.4,50,"0.0901","0.0901"
"51","GO:0016884","carbon-nitrogen ligase activity, with gl...",5,1,0.1,51,"0.0969","0.0969"
