sample inputreads readlength uniqreads unipercent multiloci multipercent toomany unmappedMismapped unmappedshort unmappedother
H005-1GC23P 146659983 302 122146970 83.29 3948003 2.69 0.04 0.00 13.88 0.11
H005-1NTHJK 152245729 302 128466223 84.38 3998865 2.63 0.03 0.00 12.91 0.06
H005-1RLWLR 190215734 302 156428824 82.24 5426462 2.85 0.04 0.00 14.82 0.06
H005-2DGLF7 214833084 302 179432847 83.52 6103584 2.84 0.04 0.00 13.54 0.06
H005-3NS8ER 195621735 302 161898595 82.76 4777120 2.44 0.04 0.00 14.68 0.08
H005-3U3F4R 142402513 302 119887723 84.19 3937033 2.76 0.04 0.00 12.93 0.08
H005-3XLHSB 145777330 302 121388781 83.27 4183219 2.87 0.05 0.00 13.74 0.07
H005-4RBL4B 138135800 302 115160751 83.37 3777742 2.73 0.03 0.00 13.80 0.07
H005-58FDGU 188645068 302 157689718 83.59 4819128 2.55 0.04 0.00 13.72 0.10
H005-6GS8 124835949 302 101629410 81.41 3513069 2.81 0.03 0.00 15.71 0.04
H005-7CMF 206395179 302 166644952 80.74 10094541 4.89 0.03 0.00 14.28 0.06
H005-7FHD 196739226 302 163712450 83.21 7046995 3.58 0.03 0.00 13.10 0.07
H005-9QDV47 129171947 302 103617652 80.22 3621342 2.80 0.04 0.00 16.86 0.09
H005-APD8 130754406 302 106061509 81.12 5497481 4.20 0.05 0.00 14.53 0.10
H005-BNNH8F 129398734 302 108865531 84.13 3409404 2.63 0.04 0.00 13.12 0.07
H005-CYHM28 233736822 302 191251942 81.82 6614847 2.83 0.04 0.00 15.25 0.06
H005-EMYM 147147260 302 122670798 83.37 3866245 2.63 0.05 0.00 13.90 0.06
H005-ENFC 216715529 302 176133068 81.27 5852683 2.70 0.04 0.00 15.92 0.07
H005-F57X8B 107360019 302 90106404 83.93 2826770 2.63 0.04 0.00 13.33 0.07
H005-FG42YJ 127207259 302 105497284 82.93 5147945 4.05 0.03 0.00 12.93 0.06
H005-HCH291 85101000 302 70092152 82.36 2232655 2.62 0.03 0.00 14.91 0.07
H005-HLA2NB 124203723 302 102790878 82.76 3174345 2.56 0.04 0.00 14.58 0.07
H005-HP01 156645033 302 128262005 81.88 4222035 2.70 0.04 0.00 15.31 0.08
H005-HUHKMD 134406893 302 111069313 82.64 3470280 2.58 0.04 0.00 14.66 0.08
H005-JL1RQJ 119655797 302 99365466 83.04 3133377 2.62 0.04 0.00 14.23 0.07
H005-L9K1TD 217750878 302 172552303 79.24 5787481 2.66 0.04 0.00 17.99 0.07
H005-MT4S 143836151 302 116475392 80.98 4400199 3.06 0.02 0.00 15.90 0.04
H005-MTGWKA 126624473 302 103052313 81.38 3330084 2.63 0.03 0.00 15.89 0.06
H005-N5CW 200742589 302 161967569 80.68 5394344 2.69 0.04 0.00 16.51 0.07
H005-N95Z 95588302 302 75330765 78.81 5393924 5.64 0.04 0.00 15.44 0.07
H005-NUTC97 59415718 302 50341395 84.73 1747790 2.94 0.04 0.00 12.21 0.08
H005-OUGO 139738675 302 110995034 79.43 3724423 2.67 0.05 0.00 17.78 0.08
H005-P1WSWP 95105943 302 73879839 77.68 2418136 2.54 0.04 0.00 19.68 0.06
H005-PQW6 103164956 302 86400217 83.75 2687920 2.61 0.04 0.00 13.51 0.09
H005-PURLLS 162334540 302 134337666 82.75 4421459 2.72 0.03 0.00 14.43 0.06
H005-QXLUZ6 133128418 302 110491057 83.00 3678103 2.76 0.04 0.00 14.10 0.11
H005-R6KKL1 95936277 302 79795337 83.18 2984193 3.11 0.02 0.00 13.66 0.03
H005-RSO5 157098911 302 127968083 81.46 5299025 3.37 0.03 0.00 15.08 0.06
H005-TELGN3 115683590 302 93904548 81.17 3446590 2.98 0.03 0.00 15.72 0.10
H005-UG9T9J 124797630 302 106884316 85.65 4062633 3.26 0.05 0.00 10.98 0.07
H005-WFBP9P 111468118 302 92927040 83.37 3169276 2.84 0.03 0.00 13.69 0.06
H005-Y0AO 158372991 302 132263076 83.51 4697187 2.97 0.04 0.00 13.40 0.08
H005-YCP26L 110904017 302 95907904 86.48 2897007 2.61 0.04 0.00 10.80 0.07
