sample inputreads readlength uniqreads unipercent multiloci multipercent toomany unmappedMismapped unmappedshort unmappedother
H005-33WM-T1-R1_GAGTGG_L006 46649611 202 43770327 93.83 1987398 4.26 0.03 0.00 1.86 0.02
H005-33WM-T1-R1_GAGTGG_L007 46138834 202 43282418 93.81 1965213 4.26 0.03 0.00 1.88 0.02
H005-3DMC-T1-R1_ACAGTG_L002 49528350 202 46864878 94.62 1621270 3.27 0.05 0.00 2.00 0.05
H005-3DMC-T1-R1_ACAGTG_L003 49926501 202 47236383 94.61 1634290 3.27 0.05 0.00 2.01 0.05
H005-5S0Z-T1-R1_TTAGGC_L001 64464055 202 61013951 94.65 2255057 3.50 0.04 0.00 1.78 0.03
H005-8E7F-T1-R1_ATCACG_L001 43162086 202 40608367 94.08 1740413 4.03 0.04 0.00 1.82 0.03
H005-AJYE-T1-R1_AGTTCC_L008 53212697 202 50450321 94.81 1686035 3.17 0.05 0.00 1.93 0.05
H005-CF04-T1-R1_ACAGTG_L006 47874857 202 45133910 94.27 1845006 3.85 0.04 0.00 1.80 0.03
H005-CF04-T1-R1_ACAGTG_L007 47340554 202 44619377 94.25 1824688 3.85 0.05 0.00 1.82 0.03
H005-ECD1-T1-R1_GATCAG_L002 41460536 202 39220392 94.60 1382322 3.33 0.05 0.00 1.96 0.06
H005-ECD1-T1-R1_GATCAG_L003 41862328 202 39595726 94.59 1396390 3.34 0.05 0.00 1.97 0.06
H005-MOWV-T1-R1_CCGTCC_L001 60235307 202 57117317 94.82 1810935 3.01 0.06 0.00 2.04 0.07
H005-MZFG-T1-R1_TAGCTT_L004 43084246 202 40799905 94.70 1434909 3.33 0.06 0.00 1.86 0.05
H005-MZFG-T1-R1_TAGCTT_L005 43039143 202 40746982 94.67 1431804 3.33 0.06 0.00 1.88 0.05
H005-O1OE-T1-R1_GATCAG_L008 43096785 202 40722895 94.49 1540340 3.57 0.04 0.00 1.85 0.04
H005-Q9ZM-T1-R1_ACAGTG_L004 54734559 202 51287437 93.70 2345287 4.28 0.06 0.00 1.89 0.06
H005-Q9ZM-T1-R1_ACAGTG_L005 54809233 202 51340890 93.67 2348300 4.28 0.06 0.00 1.92 0.06
H005-TMVO-T1-R1_GTCCGC_L002 45517631 202 42845201 94.13 1813802 3.98 0.04 0.00 1.81 0.04
H005-TMVO-T1-R1_GTCCGC_L003 45930053 202 43227691 94.12 1827585 3.98 0.04 0.00 1.82 0.04
H005-TUQ6-T1-R1_AGTCAA_L004 44078925 202 41445827 94.03 1554655 3.53 0.07 0.00 2.32 0.06
H005-TUQ6-T1-R1_AGTCAA_L005 44302186 202 41637456 93.99 1563706 3.53 0.07 0.00 2.36 0.06
H005-U2VJ-T1-R1_AGTCAA_L006 42788123 202 40410692 94.44 1542396 3.60 0.04 0.00 1.89 0.03
H005-U2VJ-T1-R1_AGTCAA_L007 42344507 202 39981576 94.42 1525622 3.60 0.04 0.00 1.91 0.03
H005-U8HQ-T1-R1_TGACCA_L006 53187324 202 49799023 93.63 2254812 4.24 0.05 0.00 2.03 0.05
H005-U8HQ-T1-R1_TGACCA_L007 52688516 202 49322537 93.61 2228909 4.23 0.05 0.00 2.06 0.05
H005-UCF9-T1-R1_GTCCGC_L008 50022850 202 47206065 94.37 1819825 3.64 0.05 0.00 1.90 0.05
H005-XY05-T1-R1_GGCTAC_L004 41774179 202 39513651 94.59 1444929 3.46 0.06 0.00 1.85 0.05
H005-XY05-T1-R1_GGCTAC_L005 42070623 202 39779777 94.55 1454280 3.46 0.06 0.00 1.89 0.05
H005-Z0HX-T1-R1_ATGTCA_L002 55297800 202 51835728 93.74 2172645 3.93 0.05 0.00 2.22 0.06
H005-Z0HX-T1-R1_ATGTCA_L003 55790095 202 52291173 93.73 2193684 3.93 0.05 0.00 2.23 0.06
H005-ZCLY-T1-R1_ACAGTG_L008 45464200 202 43080044 94.76 1476141 3.25 0.05 0.00 1.91 0.04
H005-ZRWN-T1-R1_TAGCTT_L001 46284169 202 43597691 94.20 1758073 3.80 0.05 0.00 1.91 0.05
